0.00.157.385 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.271.202 W srv  llama_server: -----------------
0.00.271.205 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.271.205 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.271.206 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.271.206 W srv  llama_server: -----------------
0.00.272.498 I srv    load_model: loading model '/workspace/models/Qwen3.6-27B-NEO-CODE-HERE-2T-OT-Q4_K_M.gguf'
0.04.520.911 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 32768, kv_unified = 'false'
0.04.534.908 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.04.534.942 I srv  llama_server: model loaded
0.04.534.946 I srv  llama_server: listening on http://127.0.0.1:8080
0.06.035.045 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
1.19.792.627 I slot print_timing: id  0 | task 2270 | n_decoded =   2887, tg =  73.83 t/s, tg_3s =  73.36 t/s
1.22.794.392 I slot print_timing: id  0 | task 2270 | n_decoded =   3107, tg =  73.79 t/s, tg_3s =  73.29 t/s
1.25.798.807 I slot print_timing: id  0 | task 2270 | n_decoded =   3327, tg =  73.76 t/s, tg_3s =  73.23 t/s
1.28.805.517 I slot print_timing: id  0 | task 2270 | n_decoded =   3547, tg =  73.72 t/s, tg_3s =  73.17 t/s
1.31.814.629 I slot print_timing: id  0 | task 2270 | n_decoded =   3767, tg =  73.68 t/s, tg_3s =  73.11 t/s
1.34.825.838 I slot print_timing: id  0 | task 2270 | n_decoded =   3987, tg =  73.65 t/s, tg_3s =  73.06 t/s
1.37.838.934 I slot print_timing: id  0 | task 2270 | n_decoded =   4207, tg =  73.62 t/s, tg_3s =  73.01 t/s
1.40.846.775 I slot print_timing: id  0 | task 2270 | n_decoded =   4426, tg =  73.58 t/s, tg_3s =  72.81 t/s
1.43.856.589 I slot print_timing: id  0 | task 2270 | n_decoded =   4645, tg =  73.54 t/s, tg_3s =  72.76 t/s
1.46.864.311 I slot print_timing: id  0 | task 2270 | n_decoded =   4864, tg =  73.50 t/s, tg_3s =  72.81 t/s
1.49.865.567 I slot print_timing: id  0 | task 2270 | n_decoded =   5083, tg =  73.48 t/s, tg_3s =  72.97 t/s
1.52.866.652 I slot print_timing: id  0 | task 2270 | n_decoded =   5302, tg =  73.46 t/s, tg_3s =  72.97 t/s
1.55.868.508 I slot print_timing: id  0 | task 2270 | n_decoded =   5521, tg =  73.44 t/s, tg_3s =  72.95 t/s
1.58.873.854 I slot print_timing: id  0 | task 2270 | n_decoded =   5740, tg =  73.42 t/s, tg_3s =  72.87 t/s
2.01.876.496 I slot print_timing: id  0 | task 2270 | n_decoded =   5958, tg =  73.39 t/s, tg_3s =  72.60 t/s
2.04.884.383 I slot print_timing: id  0 | task 2270 | n_decoded =   6177, tg =  73.37 t/s, tg_3s =  72.81 t/s
2.07.896.294 I slot print_timing: id  0 | task 2270 | n_decoded =   6396, tg =  73.34 t/s, tg_3s =  72.71 t/s
2.10.907.515 I slot print_timing: id  0 | task 2270 | n_decoded =   6615, tg =  73.32 t/s, tg_3s =  72.73 t/s
2.13.918.857 I slot print_timing: id  0 | task 2270 | n_decoded =   6834, tg =  73.30 t/s, tg_3s =  72.73 t/s
2.14.372.296 I slot print_timing: id  0 | task 2270 | prompt eval time =     953.95 ms /  3190 tokens (    0.30 ms per token,  3344.00 tokens per second)
2.14.372.299 I slot print_timing: id  0 | task 2270 |        eval time =   93681.65 ms /  6867 tokens (   13.64 ms per token,    73.30 tokens per second)
2.14.372.300 I slot print_timing: id  0 | task 2270 |       total time =   94635.60 ms / 10057 tokens
2.14.372.301 I slot print_timing: id  0 | task 2270 |    graphs reused =       9094
2.14.372.594 I slot      release: id  0 | task 2270 | stop processing: n_tokens = 10056, truncated = 0
2.15.955.826 I srv    operator(): operator(): cleaning up before exit...
