0.00.146.170 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.255.402 W srv  llama_server: -----------------
0.00.255.405 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.255.406 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.255.406 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.255.406 W srv  llama_server: -----------------
0.00.256.692 I srv    load_model: loading model '/workspace/models/Qwen3.6-27B-NEO-CODE-HERE-2T-OT-Q4_K_M.gguf'
0.04.588.119 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 32768, kv_unified = 'false'
0.04.602.018 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.04.602.057 I srv  llama_server: model loaded
0.04.602.060 I srv  llama_server: listening on http://127.0.0.1:8080
0.06.042.839 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
1.30.504.475 I slot print_timing: id  0 | task 0 | n_decoded =   6239, tg =  74.12 t/s, tg_3s =  73.07 t/s
1.33.511.935 I slot print_timing: id  0 | task 0 | n_decoded =   6459, tg =  74.09 t/s, tg_3s =  73.15 t/s
1.36.516.287 I slot print_timing: id  0 | task 0 | n_decoded =   6678, tg =  74.05 t/s, tg_3s =  72.89 t/s
1.39.526.129 I slot print_timing: id  0 | task 0 | n_decoded =   6897, tg =  74.01 t/s, tg_3s =  72.76 t/s
1.42.537.559 I slot print_timing: id  0 | task 0 | n_decoded =   7116, tg =  73.97 t/s, tg_3s =  72.72 t/s
1.45.538.338 I slot print_timing: id  0 | task 0 | n_decoded =   7334, tg =  73.93 t/s, tg_3s =  72.65 t/s
1.48.543.135 I slot print_timing: id  0 | task 0 | n_decoded =   7553, tg =  73.90 t/s, tg_3s =  72.88 t/s
1.51.546.832 I slot print_timing: id  0 | task 0 | n_decoded =   7772, tg =  73.87 t/s, tg_3s =  72.91 t/s
1.54.547.500 I slot print_timing: id  0 | task 0 | n_decoded =   7991, tg =  73.84 t/s, tg_3s =  72.98 t/s
1.57.557.195 I slot print_timing: id  0 | task 0 | n_decoded =   8210, tg =  73.82 t/s, tg_3s =  72.76 t/s
2.00.565.063 I slot print_timing: id  0 | task 0 | n_decoded =   8429, tg =  73.79 t/s, tg_3s =  72.81 t/s
2.03.574.168 I slot print_timing: id  0 | task 0 | n_decoded =   8648, tg =  73.76 t/s, tg_3s =  72.78 t/s
2.06.585.168 I slot print_timing: id  0 | task 0 | n_decoded =   8867, tg =  73.74 t/s, tg_3s =  72.73 t/s
2.09.598.763 I slot print_timing: id  0 | task 0 | n_decoded =   9086, tg =  73.71 t/s, tg_3s =  72.67 t/s
2.12.599.703 I slot print_timing: id  0 | task 0 | n_decoded =   9304, tg =  73.69 t/s, tg_3s =  72.64 t/s
2.15.610.311 I slot print_timing: id  0 | task 0 | n_decoded =   9523, tg =  73.66 t/s, tg_3s =  72.74 t/s
2.18.614.488 I slot print_timing: id  0 | task 0 | n_decoded =   9741, tg =  73.64 t/s, tg_3s =  72.57 t/s
2.21.621.770 I slot print_timing: id  0 | task 0 | n_decoded =   9959, tg =  73.61 t/s, tg_3s =  72.49 t/s
2.21.897.611 I slot print_timing: id  0 | task 0 | prompt eval time =     290.33 ms /   709 tokens (    0.41 ms per token,  2442.04 tokens per second)
2.21.897.616 I slot print_timing: id  0 | task 0 |        eval time =  135564.34 ms /  9979 tokens (   13.58 ms per token,    73.61 tokens per second)
2.21.897.616 I slot print_timing: id  0 | task 0 |       total time =  135854.67 ms / 10688 tokens
2.21.897.625 I slot print_timing: id  0 | task 0 |    graphs reused =       9939
2.21.897.737 I slot      release: id  0 | task 0 | stop processing: n_tokens = 10687, truncated = 0
2.30.273.863 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 114361410694
2.30.807.164 I slot launch_slot_: id  0 | task 9982 | processing task, is_child = 0
2.34.084.890 I slot print_timing: id  0 | task 9982 | n_decoded =    227, tg =  75.41 t/s, tg_3s =  75.41 t/s
2.37.095.032 I slot print_timing: id  0 | task 9982 | n_decoded =    453, tg =  75.25 t/s, tg_3s =  75.08 t/s
2.40.101.671 I slot print_timing: id  0 | task 9982 | n_decoded =    678, tg =  75.11 t/s, tg_3s =  74.83 t/s
2.43.104.007 I slot print_timing: id  0 | task 9982 | n_decoded =    903, tg =  75.07 t/s, tg_3s =  74.94 t/s
2.46.104.429 I slot print_timing: id  0 | task 9982 | n_decoded =   1127, tg =  74.99 t/s, tg_3s =  74.66 t/s
2.49.106.792 I slot print_timing: id  0 | task 9982 | n_decoded =   1351, tg =  74.92 t/s, tg_3s =  74.61 t/s
2.52.109.426 I slot print_timing: id  0 | task 9982 | n_decoded =   1575, tg =  74.88 t/s, tg_3s =  74.60 t/s
2.55.116.708 I slot print_timing: id  0 | task 9982 | n_decoded =   1799, tg =  74.83 t/s, tg_3s =  74.49 t/s
2.58.121.830 I slot print_timing: id  0 | task 9982 | n_decoded =   2023, tg =  74.80 t/s, tg_3s =  74.54 t/s
3.01.129.582 I slot print_timing: id  0 | task 9982 | n_decoded =   2247, tg =  74.76 t/s, tg_3s =  74.47 t/s
3.04.140.124 I slot print_timing: id  0 | task 9982 | n_decoded =   2471, tg =  74.73 t/s, tg_3s =  74.41 t/s
3.07.150.414 I slot print_timing: id  0 | task 9982 | n_decoded =   2695, tg =  74.70 t/s, tg_3s =  74.41 t/s
3.10.160.812 I slot print_timing: id  0 | task 9982 | n_decoded =   2918, tg =  74.66 t/s, tg_3s =  74.08 t/s
3.13.166.103 I slot print_timing: id  0 | task 9982 | n_decoded =   3140, tg =  74.60 t/s, tg_3s =  73.87 t/s
3.16.175.621 I slot print_timing: id  0 | task 9982 | n_decoded =   3362, tg =  74.54 t/s, tg_3s =  73.77 t/s
3.19.186.408 I slot print_timing: id  0 | task 9982 | n_decoded =   3584, tg =  74.49 t/s, tg_3s =  73.73 t/s
3.22.198.100 I slot print_timing: id  0 | task 9982 | n_decoded =   3806, tg =  74.45 t/s, tg_3s =  73.71 t/s
3.25.199.174 I slot print_timing: id  0 | task 9982 | n_decoded =   4027, tg =  74.40 t/s, tg_3s =  73.64 t/s
3.28.207.918 I slot print_timing: id  0 | task 9982 | n_decoded =   4249, tg =  74.37 t/s, tg_3s =  73.79 t/s
3.31.210.708 I slot print_timing: id  0 | task 9982 | n_decoded =   4470, tg =  74.33 t/s, tg_3s =  73.60 t/s
3.34.219.549 I slot print_timing: id  0 | task 9982 | n_decoded =   4691, tg =  74.29 t/s, tg_3s =  73.45 t/s
3.37.220.248 I slot print_timing: id  0 | task 9982 | n_decoded =   4911, tg =  74.25 t/s, tg_3s =  73.32 t/s
3.40.233.771 I slot print_timing: id  0 | task 9982 | n_decoded =   5132, tg =  74.21 t/s, tg_3s =  73.34 t/s
3.43.235.923 I slot print_timing: id  0 | task 9982 | n_decoded =   5352, tg =  74.17 t/s, tg_3s =  73.28 t/s
3.46.241.016 I slot print_timing: id  0 | task 9982 | n_decoded =   5572, tg =  74.13 t/s, tg_3s =  73.21 t/s
3.49.247.422 I slot print_timing: id  0 | task 9982 | n_decoded =   5792, tg =  74.09 t/s, tg_3s =  73.18 t/s
3.52.251.750 I slot print_timing: id  0 | task 9982 | n_decoded =   6012, tg =  74.06 t/s, tg_3s =  73.23 t/s
3.55.263.368 I slot print_timing: id  0 | task 9982 | n_decoded =   6232, tg =  74.02 t/s, tg_3s =  73.05 t/s
3.56.594.441 I slot print_timing: id  0 | task 9982 | prompt eval time =     267.65 ms /   614 tokens (    0.44 ms per token,  2294.04 tokens per second)
3.56.594.446 I slot print_timing: id  0 | task 9982 |        eval time =   85519.60 ms /  6329 tokens (   13.51 ms per token,    74.01 tokens per second)
3.56.594.447 I slot print_timing: id  0 | task 9982 |       total time =   85787.25 ms /  6943 tokens
3.56.594.448 I slot print_timing: id  0 | task 9982 |    graphs reused =      16241
3.56.594.562 I slot      release: id  0 | task 9982 | stop processing: n_tokens = 6942, truncated = 0
4.01.520.685 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 114456107518
4.01.957.167 I slot launch_slot_: id  0 | task 16314 | processing task, is_child = 0
4.05.230.097 I slot print_timing: id  0 | task 16314 | n_decoded =    226, tg =  75.16 t/s, tg_3s =  75.16 t/s
4.08.241.744 I slot print_timing: id  0 | task 16314 | n_decoded =    452, tg =  75.10 t/s, tg_3s =  75.04 t/s
4.11.252.401 I slot print_timing: id  0 | task 16314 | n_decoded =    678, tg =  75.09 t/s, tg_3s =  75.07 t/s
4.14.260.192 I slot print_timing: id  0 | task 16314 | n_decoded =    904, tg =  75.10 t/s, tg_3s =  75.14 t/s
4.17.264.815 I slot print_timing: id  0 | task 16314 | n_decoded =   1129, tg =  75.06 t/s, tg_3s =  74.88 t/s
4.20.273.790 I slot print_timing: id  0 | task 16314 | n_decoded =   1354, tg =  75.01 t/s, tg_3s =  74.78 t/s
4.23.286.184 I slot print_timing: id  0 | task 16314 | n_decoded =   1579, tg =  74.97 t/s, tg_3s =  74.69 t/s
4.26.287.614 I slot print_timing: id  0 | task 16314 | n_decoded =   1803, tg =  74.92 t/s, tg_3s =  74.63 t/s
4.29.291.300 I slot print_timing: id  0 | task 16314 | n_decoded =   2027, tg =  74.89 t/s, tg_3s =  74.57 t/s
4.32.296.510 I slot print_timing: id  0 | task 16314 | n_decoded =   2251, tg =  74.85 t/s, tg_3s =  74.54 t/s
4.35.304.364 I slot print_timing: id  0 | task 16314 | n_decoded =   2475, tg =  74.82 t/s, tg_3s =  74.47 t/s
4.38.312.839 I slot print_timing: id  0 | task 16314 | n_decoded =   2699, tg =  74.79 t/s, tg_3s =  74.46 t/s
4.41.317.420 I slot print_timing: id  0 | task 16314 | n_decoded =   2922, tg =  74.74 t/s, tg_3s =  74.22 t/s
4.44.326.837 I slot print_timing: id  0 | task 16314 | n_decoded =   3145, tg =  74.70 t/s, tg_3s =  74.10 t/s
4.47.327.116 I slot print_timing: id  0 | task 16314 | n_decoded =   3367, tg =  74.65 t/s, tg_3s =  73.99 t/s
4.50.330.340 I slot print_timing: id  0 | task 16314 | n_decoded =   3589, tg =  74.60 t/s, tg_3s =  73.92 t/s
4.53.335.892 I slot print_timing: id  0 | task 16314 | n_decoded =   3811, tg =  74.56 t/s, tg_3s =  73.86 t/s
4.56.342.071 I slot print_timing: id  0 | task 16314 | n_decoded =   4033, tg =  74.52 t/s, tg_3s =  73.85 t/s
4.59.346.410 I slot print_timing: id  0 | task 16314 | n_decoded =   4255, tg =  74.49 t/s, tg_3s =  73.89 t/s
5.02.358.961 I slot print_timing: id  0 | task 16314 | n_decoded =   4477, tg =  74.45 t/s, tg_3s =  73.69 t/s
5.05.360.283 I slot print_timing: id  0 | task 16314 | n_decoded =   4698, tg =  74.41 t/s, tg_3s =  73.63 t/s
5.06.214.589 I slot print_timing: id  0 | task 16314 | prompt eval time =     266.05 ms /   609 tokens (    0.44 ms per token,  2289.02 tokens per second)
5.06.214.592 I slot print_timing: id  0 | task 16314 |        eval time =   63991.35 ms /  4761 tokens (   13.44 ms per token,    74.40 tokens per second)
5.06.214.592 I slot print_timing: id  0 | task 16314 |       total time =   64257.40 ms /  5370 tokens
5.06.214.593 I slot print_timing: id  0 | task 16314 |    graphs reused =      20982
5.06.214.634 I slot      release: id  0 | task 16314 | stop processing: n_tokens = 5369, truncated = 0
5.07.050.373 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 114525727591
5.07.447.515 I slot launch_slot_: id  0 | task 21078 | processing task, is_child = 0
5.10.760.082 I slot print_timing: id  0 | task 21078 | n_decoded =    227, tg =  75.35 t/s, tg_3s =  75.35 t/s
5.13.765.192 I slot print_timing: id  0 | task 21078 | n_decoded =    453, tg =  75.28 t/s, tg_3s =  75.21 t/s
5.16.765.224 I slot print_timing: id  0 | task 21078 | n_decoded =    678, tg =  75.19 t/s, tg_3s =  75.00 t/s
5.19.770.226 I slot print_timing: id  0 | task 21078 | n_decoded =    903, tg =  75.11 t/s, tg_3s =  74.88 t/s
5.22.779.475 I slot print_timing: id  0 | task 21078 | n_decoded =   1128, tg =  75.04 t/s, tg_3s =  74.77 t/s
5.25.791.340 I slot print_timing: id  0 | task 21078 | n_decoded =   1353, tg =  74.98 t/s, tg_3s =  74.70 t/s
5.28.791.508 I slot print_timing: id  0 | task 21078 | n_decoded =   1577, tg =  74.94 t/s, tg_3s =  74.66 t/s
5.31.797.347 I slot print_timing: id  0 | task 21078 | n_decoded =   1801, tg =  74.89 t/s, tg_3s =  74.52 t/s
5.34.803.116 I slot print_timing: id  0 | task 21078 | n_decoded =   2025, tg =  74.85 t/s, tg_3s =  74.52 t/s
5.37.807.873 I slot print_timing: id  0 | task 21078 | n_decoded =   2249, tg =  74.82 t/s, tg_3s =  74.55 t/s
5.40.821.021 I slot print_timing: id  0 | task 21078 | n_decoded =   2473, tg =  74.77 t/s, tg_3s =  74.34 t/s
5.43.826.813 I slot print_timing: id  0 | task 21078 | n_decoded =   2695, tg =  74.70 t/s, tg_3s =  73.86 t/s
5.46.826.954 I slot print_timing: id  0 | task 21078 | n_decoded =   2917, tg =  74.64 t/s, tg_3s =  74.00 t/s
5.49.832.857 I slot print_timing: id  0 | task 21078 | n_decoded =   3139, tg =  74.59 t/s, tg_3s =  73.85 t/s
5.52.838.662 I slot print_timing: id  0 | task 21078 | n_decoded =   3361, tg =  74.54 t/s, tg_3s =  73.86 t/s
5.55.845.980 I slot print_timing: id  0 | task 21078 | n_decoded =   3583, tg =  74.49 t/s, tg_3s =  73.82 t/s
5.58.853.333 I slot print_timing: id  0 | task 21078 | n_decoded =   3805, tg =  74.45 t/s, tg_3s =  73.82 t/s
6.01.859.331 I slot print_timing: id  0 | task 21078 | n_decoded =   4027, tg =  74.42 t/s, tg_3s =  73.85 t/s
6.04.860.076 I slot print_timing: id  0 | task 21078 | n_decoded =   4248, tg =  74.38 t/s, tg_3s =  73.65 t/s
6.07.862.309 I slot print_timing: id  0 | task 21078 | n_decoded =   4469, tg =  74.34 t/s, tg_3s =  73.61 t/s
6.10.868.665 I slot print_timing: id  0 | task 21078 | n_decoded =   4690, tg =  74.30 t/s, tg_3s =  73.51 t/s
6.13.880.252 I slot print_timing: id  0 | task 21078 | n_decoded =   4911, tg =  74.26 t/s, tg_3s =  73.38 t/s
6.16.882.125 I slot print_timing: id  0 | task 21078 | n_decoded =   5131, tg =  74.22 t/s, tg_3s =  73.29 t/s
6.19.884.954 I slot print_timing: id  0 | task 21078 | n_decoded =   5351, tg =  74.18 t/s, tg_3s =  73.26 t/s
6.22.885.892 I slot print_timing: id  0 | task 21078 | n_decoded =   5571, tg =  74.14 t/s, tg_3s =  73.31 t/s
6.25.894.386 I slot print_timing: id  0 | task 21078 | n_decoded =   5791, tg =  74.10 t/s, tg_3s =  73.13 t/s
6.28.905.261 I slot print_timing: id  0 | task 21078 | n_decoded =   6011, tg =  74.07 t/s, tg_3s =  73.07 t/s
6.31.917.056 I slot print_timing: id  0 | task 21078 | n_decoded =   6231, tg =  74.03 t/s, tg_3s =  73.05 t/s
6.34.919.248 I slot print_timing: id  0 | task 21078 | n_decoded =   6450, tg =  73.99 t/s, tg_3s =  72.95 t/s
6.37.925.655 I slot print_timing: id  0 | task 21078 | n_decoded =   6669, tg =  73.95 t/s, tg_3s =  72.84 t/s
6.40.937.458 I slot print_timing: id  0 | task 21078 | n_decoded =   6888, tg =  73.91 t/s, tg_3s =  72.71 t/s
6.43.945.886 I slot print_timing: id  0 | task 21078 | n_decoded =   7107, tg =  73.88 t/s, tg_3s =  72.80 t/s
6.46.950.284 I slot print_timing: id  0 | task 21078 | n_decoded =   7326, tg =  73.85 t/s, tg_3s =  72.89 t/s
6.49.961.648 I slot print_timing: id  0 | task 21078 | n_decoded =   7545, tg =  73.82 t/s, tg_3s =  72.72 t/s
6.52.969.582 I slot print_timing: id  0 | task 21078 | n_decoded =   7764, tg =  73.79 t/s, tg_3s =  72.81 t/s
6.55.976.032 I slot print_timing: id  0 | task 21078 | n_decoded =   7983, tg =  73.76 t/s, tg_3s =  72.84 t/s
6.56.154.259 I slot print_timing: id  0 | task 21078 | prompt eval time =     300.11 ms /   808 tokens (    0.37 ms per token,  2692.35 tokens per second)
6.56.154.261 I slot print_timing: id  0 | task 21078 |        eval time =  108406.61 ms /  7996 tokens (   13.56 ms per token,    73.76 tokens per second)
6.56.154.262 I slot print_timing: id  0 | task 21078 |       total time =  108706.72 ms /  8804 tokens
6.56.154.263 I slot print_timing: id  0 | task 21078 |    graphs reused =      28945
6.56.154.357 I slot      release: id  0 | task 21078 | stop processing: n_tokens = 8803, truncated = 0
6.59.146.567 I srv    operator(): operator(): cleaning up before exit...
